"%s was successfully added to your shopping cart.","%s fue añadido con éxito al carrito de la compra."
"&laquo; Back to Billing Information","&laquo; Volver a la Información de la facturación"
"&laquo; Back to Select Addresses","&laquo; Volver para selecconar direcciones"
"&laquo; Back to Shopping Cart","&laquo; Volver al Carrito de Compras"
"* Required Fields","* Campos Requeridos"
"Add New Address","Añadir nuevas direcciones"
"Add New Condition","Añadir nueva  condición"
"Add to Cart","Añadir al carrito"
"Add to Compare","Añadir a la lista de comparación"
"Add to Wishlist","Añadir a la lista de deseos"
"Address","Dirección"
"Address %s of %s","Dirección %s de %s"
"After adding a product redirect to shopping cart","Después de añadir un producto, regresar al carrito de la compra"
"Allow Guest Checkout","Permitir comprar a los invitados"
"Already registered?","Ya está registrado?"
"An error occurred in the process of payment","Un error ha ocurrido en el proceso de pago"
"Apply Coupon","Aplicar un cupón"
"Are you sure you would like to remove this item from the shopping cart?","Está seguro de quitar este artículo del carrito de compras?"
"Back","Volver atrás"
"Back to Shipping Information","Volver a la información de envío"
"Based on your selection, you may be interested in the following items:","Probablemente le interesen también los siguientes artículos:"
"Billing Address","Dirección de facturación"
"Billing Information","Información  de facturación"
"Billing Information - %s","Información  de facturación - %s"
"Can not add item to shopping cart","No se puede añadir el artículo al carrito de la compra"
"Can not apply coupon code.","No se puede aplicar el código del cupón."
"Can't open overview page","No se puede abrir la página general"
"Cancel Coupon","Cancelar cupón"
"Cannot remove item","No se puede quitar el artículo"
"Cannot update shopping cart","No se puede actualizar el carrito de compras"
"Card Verification Number Visual Reference","Referencia visual del número de verificación de la tarjeta"
"Cart Subtotal:","Subtotal del carrito:"
"Change","Cambio"
"Change Billing Address","Cambiar la dirección de facturación"
"Checkbox text","Texto de confirmación"
"Checkout","Realizar Pedido"
"Checkout Conditions","Texto de condiciones"
"Checkout Options","Opciones de Compra"
"Checkout Section","Texto sección"
"Checkout Terms and Conditions","Términos y condiciones"
"Checkout as Guest","Realizar Pedido como Invitado"
"Checkout as a Guest or Register","Realizar Pedido como Invitado o Registrarse"
"Checkout method","Método de efectuar la compra"
"Checkout with Multiple Addresses","Comprar con múltiples direcciones"
"City","Ciudad"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">aquí para imprimir</a> una copia del  pedido."
"Close","Cerrar"
"Company","Compañia"
"Condition Name","Nombre"
"Condition was successfully deleted","La condición  ha sido eliminada"
